"GENEID","gene_1","log2FC_control_vs_FA_edited","padj_control_vs_FA_edited","gene_2","log2FC_FA_edited_vs_FA","padj_FA_edited_vs_FA","gene","dist_diag","significant"
"ENSG00000259366","ENSG00000259366",-0.580739057253481,0.882937211758777,"ENSG00000259366",-0.128247289242141,0.999962111488567,"ENSG00000259366",0.319959997591909,FALSE
"ENSG00000269792","ENSG00000269792",-1.5484335832356,0.882937211758777,"ENSG00000269792",0.152481249436592,0.999962111488567,"ENSG00000269792",1.20272841240329,FALSE
"ENSG00000280206","ENSG00000280206",0.904661801550409,0.882937211758777,"ENSG00000280206",-0.0452020581968023,0.999962111488567,"ENSG00000280206",0.671655176431281,FALSE
"ENSG00000140612","SEC11A",0.387885866114856,0.88301568900514,"SEC11A",0.024960111160057,0.999962111488567,"SEC11A",0.256627262395786,FALSE
"ENSG00000276600","RAB7B",0.928970380943145,0.883154365510068,"RAB7B",1.40877248263229,0.938370859462755,"RAB7B",0.339271319731955,FALSE
"ENSG00000290292","HOMEZ",-0.452545649397825,0.883154365510068,"HOMEZ",-0.0143995841256523,0.999962111488567,"HOMEZ",0.309816053904157,FALSE
"ENSG00000289560","ENSG00000289560",1.94261136033088,0.883364567103799,"ENSG00000289560",0.559315138495191,0.999962111488567,"ENSG00000289560",0.978138138849747,FALSE
"ENSG00000243004","MACC1-OT1",-2.14541267510507,0.88358536987229,"MACC1-OT1",-1.12238140801519,NA,"MACC1-OT1",0.723392346325122,NA
"ENSG00000145781","COMMD10",0.458942588195464,0.883603828309558,"COMMD10",0.00911076654855408,0.999962111488567,"COMMD10",0.318079131480027,FALSE
"ENSG00000118200","CAMSAP2",-0.339317956818871,0.883619716026762,"CAMSAP2",0.156708997299282,0.999962111488567,"CAMSAP2",0.350744022908254,FALSE
"ENSG00000198805","PNP",-0.562239072214049,0.883619716026762,"PNP",-0.225315439177372,0.999962111488567,"PNP",0.238240985662242,FALSE
"ENSG00000160183","TMPRSS3",1.7631412872348,0.884031899267119,"TMPRSS3",-2.46676461408055,0.830045432787809,"TMPRSS3",2.99099514660108,FALSE
"ENSG00000143418","CERS2",0.327898942358534,0.884125159871857,"CERS2",0.0775222836854912,0.999962111488567,"CERS2",0.177043033198538,FALSE
"ENSG00000009413","REV3L",-0.432377773652521,0.884842128005245,"REV3L",0.220032182559762,0.999962111488567,"REV3L",0.461323504151324,FALSE
"ENSG00000092531","SNAP23",0.518577266221052,0.884842128005245,"SNAP23",0.0716468793445378,0.999962111488567,"SNAP23",0.31602750727871,FALSE
"ENSG00000115652","UXS1",0.306036627211142,0.884842128005245,"UXS1",0.0583124577265579,0.999962111488567,"UXS1",0.175167440106355,FALSE
"ENSG00000124486","USP9X",-0.462171970107323,0.884842128005245,"USP9X",-0.0703114991595137,0.999962111488567,"USP9X",0.27708719628615,FALSE
"ENSG00000133958","UNC79",-0.485577266514256,0.884842128005245,"UNC79",-0.0174735820718813,0.999962111488567,"UNC79",0.330999289567611,FALSE
"ENSG00000135973","GPR45",-0.769426887091769,0.884842128005245,"GPR45",0.191428831493006,0.999962111488567,"GPR45",0.679427594353167,FALSE
"ENSG00000162191","UBXN1",0.311923566246103,0.884842128005245,"UBXN1",-0.140294928140324,0.999962111488567,"UBXN1",0.319766763958613,FALSE
"ENSG00000204685","STARD7-AS1",-0.428898542055788,0.884842128005245,"STARD7-AS1",0.139691715089694,0.999962111488567,"STARD7-AS1",0.402054026544173,FALSE
"ENSG00000205832","C16orf96",-0.59055267431483,0.884842128005245,"C16orf96",0.408796972288442,0.999962111488567,"C16orf96",0.706646911889553,FALSE
"ENSG00000229431","MED8-AS1",-1.1606952836362,0.884842128005245,"MED8-AS1",0.844558597205461,0.999962111488567,"MED8-AS1",1.41792861714378,FALSE
"ENSG00000233608","TWIST2",2.72005581528525,0.884842128005245,"TWIST2",-2.09280833240399,0.999962111488567,"TWIST2",3.40320887576068,FALSE
"ENSG00000263571","ENSG00000263571",-0.929305842144117,0.884842128005245,"ENSG00000263571",-0.180328887760219,0.999962111488567,"ENSG00000263571",0.529606683397302,FALSE
"ENSG00000283828","F10-AS2",-1.03131840969347,0.884842128005245,"F10-AS2",0.386318256428734,0.999962111488567,"F10-AS2",1.0024204998737,FALSE
"ENSG00000290199","ENSG00000290199",1.38353746887082,0.884842128005245,"ENSG00000290199",-0.492288857795655,0.999962111488567,"ENSG00000290199",1.32640951591412,FALSE
"ENSG00000112685","EXOC2",-0.359255507873737,0.884863271438213,"EXOC2",0.281525414335122,0.999962111488567,"EXOC2",0.453100535348854,FALSE
"ENSG00000112977","DAP",0.602578598340048,0.884863271438213,"DAP",0.237647703430652,0.999962111488567,"DAP",0.258045110454909,FALSE
"ENSG00000176933","TOB2P1",1.93352168098597,0.884863271438213,"TOB2P1",-1.07139774149025,0.999962111488567,"TOB2P1",2.1247989005521,FALSE
"ENSG00000258359","PCNPP1",-1.92838773724018,0.884863271438213,"PCNPP1",0.136937070808052,NA,"PCNPP1",1.46040517712371,NA
"ENSG00000261924","ENSG00000261924",1.66147198948384,0.884863271438213,"ENSG00000261924",0.0528903341627665,0.999962111488567,"ENSG00000261924",1.13743899656981,FALSE
"ENSG00000280798","LINC00294",-0.455209646661726,0.884863271438213,"LINC00294",-0.156918311017358,0.999962111488567,"LINC00294",0.210923826203325,FALSE
"ENSG00000006007","GDE1",-0.357267588400368,0.884975918953751,"GDE1",0.347463568299326,0.999962111488567,"GDE1",0.498320179815793,FALSE
"ENSG00000087338","GMCL1",0.460155777109553,0.884975918953751,"GMCL1",-0.488703928511175,0.999962111488567,"GMCL1",0.670945132239088,FALSE
"ENSG00000139436","GIT2",-0.304033157397947,0.884975918953751,"GIT2",0.380144199730219,0.938868043259851,"GIT2",0.483786448759616,FALSE
"ENSG00000152207","CYSLTR2",2.26155569930062,0.884975918953751,"CYSLTR2",0.408964324696239,0.999962111488567,"CYSLTR2",1.30997992375047,FALSE
"ENSG00000164088","PPM1M",-0.679046154630797,0.884975918953751,"PPM1M",0.577299554217426,0.999962111488567,"PPM1M",0.888370570241199,FALSE
"ENSG00000164916","FOXK1",-0.510582068112766,0.884975918953751,"FOXK1",0.27060977192901,0.999962111488567,"FOXK1",0.552386047501136,FALSE
"ENSG00000165097","KDM1B",-0.507316139373588,0.884975918953751,"KDM1B",0.424431620141831,0.999962111488567,"KDM1B",0.658845159108725,FALSE
"ENSG00000166073","GPR176",-0.706898101592021,0.884975918953751,"GPR176",0.591328029208508,0.999962111488567,"GPR176",0.917984500602627,FALSE
"ENSG00000171984","SHLD1",0.536561377841584,0.884975918953751,"SHLD1",-0.219643709933701,0.999962111488567,"SHLD1",0.534717745533672,FALSE
"ENSG00000197043","ANXA6",0.458519787637413,0.884975918953751,"ANXA6",0.720678406724704,0.999764052909027,"ANXA6",0.185374137303124,FALSE
"ENSG00000240758","HILPDA-AS1",-1.10194543082978,0.884975918953751,"HILPDA-AS1",1.01230538404436,0.999962111488567,"HILPDA-AS1",1.49500108832669,FALSE
"ENSG00000248714","ZNF652-AS1",-0.955363728472616,0.884975918953751,"ZNF652-AS1",1.00405985411779,0.989525551053059,"ZNF652-AS1",1.38552170246652,FALSE
"ENSG00000289725","ENSG00000289725",-1.62482306773347,0.884975918953751,"ENSG00000289725",4.21918945343316,0.471813791517374,"ENSG00000289725",4.13234088305602,FALSE
"ENSG00000226953","NCKAP5-AS2",1.96536287597916,0.885327463613834,"NCKAP5-AS2",-1.41577689718536,0.999962111488567,"NCKAP5-AS2",2.39082686174418,FALSE
"ENSG00000171016","PYGO1",-0.671994207487649,0.885349983316726,"PYGO1",0.38941530919518,0.998544447172379,"PYGO1",0.750529866862365,FALSE
"ENSG00000139163","ETNK1",-0.432788919713109,0.885526487547215,"ETNK1",0.548806743850628,0.999962111488567,"ETNK1",0.694092950089227,FALSE
"ENSG00000133477","FAM83F",-1.44845631409223,0.885653413069206,"FAM83F",1.48785179803495,0.892078384513561,"FAM83F",2.0762833777382,FALSE
"ENSG00000079263","SP140",-1.60245307381865,0.885878542946507,"SP140",1.86179800004531,0.999962111488567,"SP140",2.44959542606198,FALSE
"ENSG00000115896","PLCL1",-0.623742020709082,0.885878542946507,"PLCL1",-0.130008714673961,0.999962111488567,"PLCL1",0.349122168795087,FALSE
"ENSG00000171345","KRT19",1.11519633005096,0.886068696865822,"KRT19",0.725716128007799,0.999962111488567,"KRT19",0.275404092002622,FALSE
"ENSG00000224614","TNK2-AS1",-1.43685102959122,0.886068696865822,"TNK2-AS1",-0.882078491181804,NA,"TNK2-AS1",0.39228342392537,NA
"ENSG00000178248","FAM230I",1.70124077392004,0.886519186158416,"FAM230I",-0.0381723625839105,0.999962111488567,"FAM230I",1.22995082410691,FALSE
"ENSG00000172247","C1QTNF4",-0.578683913087706,0.887196954820767,"C1QTNF4",0.535095708350449,0.999962111488567,"C1QTNF4",0.787561123066305,FALSE
"ENSG00000102078","SLC25A14",-0.369560354100079,0.887290406245946,"SLC25A14",-0.0101846078412804,0.999962111488567,"SLC25A14",0.254117027173572,FALSE
"ENSG00000153815","CMIP",-0.432366792346968,0.887290406245946,"CMIP",-0.0592935195795996,0.999962111488567,"CMIP",0.263802641053265,FALSE
"ENSG00000169016","E2F6",0.306526257620903,0.887675653827936,"E2F6",0.000829188389270733,0.999962111488567,"E2F6",0.216160470642541,FALSE
"ENSG00000083099","LYRM2",-0.399044635128641,0.887936480293205,"LYRM2",0.208051985482573,0.999962111488567,"LYRM2",0.429282137269626,FALSE
"ENSG00000100024","UPB1",-0.984209727728816,0.887936480293205,"UPB1",-0.529211446636537,0.999962111488567,"UPB1",0.321732369988574,FALSE
"ENSG00000108439","PNPO",-0.896521462174282,0.887936480293205,"PNPO",0.521829067065874,0.999962111488567,"PNPO",1.00292527732524,FALSE
"ENSG00000116981","NT5C1A",-1.12006495264853,0.887936480293205,"NT5C1A",0.998433373705109,0.999962111488567,"NT5C1A",1.49800453249701,FALSE
"ENSG00000118961","LDAH",0.412097754023655,0.887936480293205,"LDAH",0.24857144484215,0.999962111488567,"LDAH",0.11563056212465,FALSE
"ENSG00000127838","PNKD",0.466472698556102,0.887936480293205,"PNKD",-0.216346078108177,0.999962111488567,"PNKD",0.482825787300815,FALSE
"ENSG00000131446","MGAT1",0.355173704837699,0.887936480293205,"MGAT1",0.135900162817051,0.999962111488567,"MGAT1",0.155049808497594,FALSE
"ENSG00000137193","PIM1",0.458696681503104,0.887936480293205,"PIM1",-0.465459220472884,0.997221242143372,"PIM1",0.653476905160791,FALSE
"ENSG00000145736","GTF2H2",0.483754071597492,0.887936480293205,"GTF2H2",-0.0430612815937711,0.999962111488567,"GTF2H2",0.372514708674728,FALSE
"ENSG00000147400","CETN2",-0.35610802339287,0.887936480293205,"CETN2",0.16600167837657,0.999962111488567,"CETN2",0.369187310644457,FALSE
"ENSG00000151725","CENPU",0.848834960330482,0.887936480293205,"CENPU",-0.301049653219352,0.999962111488567,"CENPU",0.81309120782316,FALSE
"ENSG00000171466","ZNF562",-0.609863916570727,0.887936480293205,"ZNF562",0.0885261034172573,0.999962111488567,"ZNF562",0.493836319046512,FALSE
"ENSG00000185774","KCNIP4",-0.724315690869575,0.887936480293205,"KCNIP4",0.385856247001068,0.999962111488567,"KCNIP4",0.785010105551341,FALSE
"ENSG00000186866","POFUT2",0.41040384000742,0.887936480293205,"POFUT2",-0.071102868409853,0.999962111488567,"POFUT2",0.340476658708668,FALSE
"ENSG00000197989","SNHG12",0.593822796153193,0.887936480293205,"SNHG12",-0.609955327269613,0.999962111488567,"SNHG12",0.851199674116282,FALSE
"ENSG00000198833","UBE2J1",-0.33297350075649,0.887936480293205,"UBE2J1",0.116971096882174,0.999962111488567,"UBE2J1",0.318158876148552,FALSE
"ENSG00000219438","TAFA5",0.712306269023868,0.887936480293205,"TAFA5",-0.174581788870405,0.999962111488567,"TAFA5",0.627124559890408,FALSE
"ENSG00000224903","RNF32-AS1",0.999919948548167,0.887936480293205,"RNF32-AS1",0.0639988383647822,0.999962111488567,"RNF32-AS1",0.661796163666313,FALSE
"ENSG00000233542","ENSG00000233542",2.76542206022757,0.887936480293205,"ENSG00000233542",-3.08368519519233,0.999962111488567,"ENSG00000233542",4.13594340419485,FALSE
"ENSG00000234373","SNX18P7",2.48372302329093,0.887936480293205,"SNX18P7",-1.35924523634042,0.999962111488567,"SNX18P7",2.71738891626999,FALSE
"ENSG00000240694","PNMA2",-0.381826841654902,0.887936480293205,"PNMA2",-0.174301996524723,0.999962111488567,"PNMA2",0.146742225256238,FALSE
"ENSG00000253368","TRNP1",-0.748217817613561,0.887936480293205,"TRNP1",0.496177247122701,0.999962111488567,"TRNP1",0.879920188750083,FALSE
"ENSG00000267169","ADGRL1-AS1",0.598134555780533,0.887936480293205,"ADGRL1-AS1",-0.0638099158675187,0.999962111488567,"ADGRL1-AS1",0.468065424671284,FALSE
"ENSG00000267313","KC6",0.529877823329506,0.887936480293205,"KC6",-0.622126490960179,0.938868043259851,"KC6",0.814590062590395,FALSE
"ENSG00000275778","ENSG00000275778",-0.768091265749419,0.887936480293205,"ENSG00000275778",0.832222582693214,0.976463066923172,"ENSG00000275778",1.13159277426053,FALSE
"ENSG00000283662","ENSG00000283662",-0.834981599620589,0.887936480293205,"ENSG00000283662",0.789325078948847,0.999962111488567,"ENSG00000283662",1.14855826714305,FALSE
"ENSG00000261616","TTC23-AS1",1.45837406583164,0.887996715009748,"TTC23-AS1",0.606262326761259,0.999962111488567,"TTC23-AS1",0.602533989025329,FALSE
"ENSG00000148606","POLR3A",-0.312947570158518,0.888087994450687,"POLR3A",0.0937250347355125,0.999962111488567,"POLR3A",0.287560956643366,FALSE
"ENSG00000174013","FBXO45",-0.356308386645815,0.888087994450687,"FBXO45",0.112703214069833,0.999962111488567,"FBXO45",0.331641283321192,FALSE
"ENSG00000002746","HECW1",-0.603820002973442,0.889502728431398,"HECW1",0.203775921002006,0.999962111488567,"HECW1",0.571056554301654,FALSE
"ENSG00000162998","FRZB",-1.09940051050702,0.889502728431398,"FRZB",1.16670688370814,0.999962111488567,"FRZB",1.60237990534652,FALSE
"ENSG00000163293","NIPAL1",-0.771155272116174,0.889502728431398,"NIPAL1",0.518263848496204,0.999962111488567,"NIPAL1",0.911757003976607,FALSE
"ENSG00000182459","TEX19",-1.96454473535007,0.889502728431398,"TEX19",0.33194517496498,NA,"TEX19",1.62386358851026,NA
"ENSG00000240859","LINC03014",-1.28411751461223,0.889502728431398,"LINC03014",1.07748416145672,0.999962111488567,"LINC03014",1.66990455960987,FALSE
"ENSG00000153993","SEMA3D",-0.789002069198142,0.889693899696583,"SEMA3D",0.105765589930874,0.999962111488567,"SEMA3D",0.63269627935654,FALSE
"ENSG00000197550","ENSG00000197550",-0.690737015689323,0.889775499714771,"ENSG00000197550",0.803669077288622,0.932036214546837,"ENSG00000197550",1.0567046821912,FALSE
"ENSG00000073712","FERMT2",0.443735014776802,0.889844342732576,"FERMT2",0.15147066796167,0.999962111488567,"FERMT2",0.206662101532037,FALSE
"ENSG00000101898","MCTS2",-0.615992993636663,0.889844342732576,"MCTS2",-0.462025651175386,0.999962111488567,"MCTS2",0.10887135193564,FALSE
"ENSG00000167971","CASKIN1",-0.595261041613293,0.889844342732576,"CASKIN1",0.118464367629334,0.999962111488567,"CASKIN1",0.504680076780606,FALSE
"ENSG00000249494","DMXL1-DT",2.77441976545937,0.889844342732576,"DMXL1-DT",-2.18658565036918,0.999962111488567,"DMXL1-DT",3.50796057103555,FALSE
"ENSG00000004766","VPS50",-0.440578214526781,0.889891182918204,"VPS50",0.323256552518824,0.999962111488567,"VPS50",0.540112743483994,FALSE
"ENSG00000043093","DCUN1D1",-0.528131815935928,0.889891182918204,"DCUN1D1",0.217141688629584,0.999962111488567,"DCUN1D1",0.526987948916937,FALSE
"ENSG00000047617","ANO2",-0.808798184834202,0.889891182918204,"ANO2",0.476695163623291,0.999962111488567,"ANO2",0.908981063864495,FALSE
"ENSG00000073350","LLGL2",1.02300339185981,0.889891182918204,"LLGL2",-0.428910507359027,0.999962111488567,"LLGL2",1.02665816383664,FALSE
"ENSG00000080166","DCT",-1.98258564214337,0.889891182918204,"DCT",-0.15089837510516,0.999962111488567,"DCT",1.29519848753577,FALSE
"ENSG00000089101","CFAP61",-0.84060237304877,0.889891182918204,"CFAP61",1.08854007577324,0.988398106739547,"CFAP61",1.36410970743686,FALSE
"ENSG00000091106","NLRC4",1.42680317277292,0.889891182918204,"NLRC4",0.249644419150519,0.999962111488567,"NLRC4",0.832376937219502,FALSE
"ENSG00000105146","AURKC",1.23669533564075,0.889891182918204,"AURKC",-0.474873801773804,0.999962111488567,"AURKC",1.21026214353544,FALSE
"ENSG00000108797","CNTNAP1",-0.690130461935235,0.889891182918204,"CNTNAP1",0.227277823380979,0.999962111488567,"CNTNAP1",0.648705619663818,FALSE
"ENSG00000115268","RPS15",0.382067015438513,0.889891182918204,"RPS15",0.00845972409423317,0.999962111488567,"RPS15",0.264180249210278,FALSE
"ENSG00000121274","TENT4B",-0.341629881068647,0.889891182918204,"TENT4B",0.242120810003602,0.999962111488567,"TENT4B",0.41277407217952,FALSE
"ENSG00000124357","NAGK",0.757237976762309,0.889891182918204,"NAGK",-0.570580673500526,0.949784606780451,"NAGK",0.938909571786819,FALSE
"ENSG00000125657","TNFSF9",-1.48126843319077,0.889891182918204,"TNFSF9",-0.0520227855219942,0.999962111488567,"TNFSF9",1.01062928944795,FALSE
"ENSG00000125845","BMP2",0.618868703770602,0.889891182918204,"BMP2",1.00436088561541,0.911451782076977,"BMP2",0.272584135876862,FALSE
"ENSG00000125962","ARMCX5",-0.455053439278566,0.889891182918204,"ARMCX5",0.0695033888153272,0.999962111488567,"ARMCX5",0.370917690262898,FALSE
"ENSG00000131351","HAUS8",0.737042290520431,0.889891182918204,"HAUS8",-0.0202908991757458,0.999962111488567,"HAUS8",0.535515434051805,FALSE
"ENSG00000132481","TRIM47",-0.939008765920267,0.889891182918204,"TRIM47",1.18830085194341,0.999962111488567,"TRIM47",1.50423505647477,FALSE
"ENSG00000135127","BICDL1",-0.765691821171893,0.889891182918204,"BICDL1",-0.0111009695224889,0.999962111488567,"BICDL1",0.533576308222626,FALSE
"ENSG00000135409","AMHR2",-1.8784120197933,0.889891182918204,"AMHR2",-0.337947638355136,NA,"AMHR2",1.08927281029126,NA
"ENSG00000138738","PRDM5",0.637949267771709,0.889891182918204,"PRDM5",-0.185794249627935,0.999962111488567,"PRDM5",0.582474627111747,FALSE
"ENSG00000138767","CNOT6L",-0.61630402897857,0.889891182918204,"CNOT6L",0.34100565846523,0.999962111488567,"CNOT6L",0.676920171687085,FALSE
"ENSG00000140403","DNAJA4",-0.575246956485089,0.889891182918204,"DNAJA4",-0.0531820047305536,0.999962111488567,"DNAJA4",0.36915566760546,FALSE
"ENSG00000140839","CLEC18B",0.929104290228925,0.889891182918204,"CLEC18B",-0.506952220910002,0.999962111488567,"CLEC18B",1.01544529719343,FALSE
"ENSG00000140876","NUDT7",0.791038762569463,0.889891182918204,"NUDT7",0.351031725675052,0.999962111488567,"NUDT7",0.311131959557837,FALSE
"ENSG00000145192","AHSG",1.62510436908198,0.889891182918204,"AHSG",-2.19353796888132,0.984568323529039,"AHSG",2.7001878920999,FALSE
"ENSG00000149792","MRPL49",0.319110745978565,0.889891182918204,"MRPL49",-0.0372128088206256,0.999962111488567,"MRPL49",0.251958801895004,FALSE
"ENSG00000154529","CNTNAP3B",0.690167532040345,0.889891182918204,"CNTNAP3B",0.151778281030964,0.999962111488567,"CNTNAP3B",0.380698690306679,FALSE
"ENSG00000157368","IL34",-1.22528872849058,0.889891182918204,"IL34",-0.641925828467909,0.999962111488567,"IL34",0.412499862498682,FALSE
"ENSG00000157538","VPS26C",0.378081102479812,0.889891182918204,"VPS26C",-0.122279665777537,0.999962111488567,"VPS26C",0.353808492274482,FALSE
"ENSG00000157978","LDLRAP1",0.9077013914129,0.889891182918204,"LDLRAP1",0.511575184711089,0.999962111488567,"LDLRAP1",0.280103526964555,FALSE
