"GENEID","gene_1","log2FC_control_vs_FA","padj_control_vs_FA","gene_2","log2FC_control_vs_FA_edited","padj_control_vs_FA_edited","gene","dist_diag","significant"
"ENSG00000102934","PLLP",1.59022050502181,0.760172957006788,"PLLP",0.365440002826617,0.986260043356027,"PLLP",0.866050598567287,FALSE
"ENSG00000160131","VMA21",-0.793909873957344,0.760172957006788,"VMA21",-0.695535065420385,0.66751561101469,"VMA21",0.0695614942144117,FALSE
"ENSG00000169955","ZNF747",-0.742749757284922,0.760172957006788,"ZNF747",0.133424137793283,0.995154265654586,"ZNF747",0.619548502708429,FALSE
"ENSG00000106070","GRB10",-0.595035181773551,0.760535394284717,"GRB10",-0.529444924594825,0.864422406958834,"GRB10",0.0463793156308469,FALSE
"ENSG00000122884","P4HA1",1.36531033404151,0.760915912517874,"P4HA1",0.857042233556872,0.836939499214121,"P4HA1",0.359399820513496,FALSE
"ENSG00000197256","KANK2",1.4092759618339,0.760915912517874,"KANK2",1.07351921334137,0.71313190458004,"KANK2",0.23741587368821,FALSE
"ENSG00000006071","ABCC8",-1.53112048706636,0.764861372339503,"ABCC8",-1.46013680640734,0.522039300789582,"ABCC8",0.050193041947579,FALSE
"ENSG00000081189","MEF2C",1.81729792362801,0.764861372339503,"MEF2C",-0.0322983411480117,0.997394776286927,"MEF2C",1.30786206128044,FALSE
"ENSG00000105499","PLA2G4C",-1.46935467591516,0.764861372339503,"PLA2G4C",-1.8203312174806,0.0170349912406678,"PLA2G4C",0.248177892578325,TRUE
"ENSG00000053438","NNAT",1.13642826451747,0.765418305269371,"NNAT",1.14216470256363,0.978661592440302,"NNAT",0.00405627424229748,FALSE
"ENSG00000102265","TIMP1",0.648748461174787,0.765418305269371,"TIMP1",0.076748449474762,0.996048615179754,"TIMP1",0.404465087111872,FALSE
"ENSG00000171522","PTGER4",1.35853413360951,0.765418305269371,"PTGER4",0.8093250598498,0.935630083837427,"PTGER4",0.388349460344674,FALSE
"ENSG00000198914","POU3F3",-1.4238968755813,0.765418305269371,"POU3F3",-1.13912223349411,0.780690268129869,"POU3F3",0.201366080529827,FALSE
"ENSG00000239213","NCK1-DT",-0.72492384500669,0.765418305269371,"NCK1-DT",-0.344453933012046,0.957283489278383,"NCK1-DT",0.269032854808861,FALSE
"ENSG00000250575","ENSG00000250575",1.10370211389722,0.765418305269371,"ENSG00000250575",2.06270747720007,0.00900121184331958,"ENSG00000250575",0.678119195585716,TRUE
"ENSG00000049759","NEDD4L",-0.696010865798025,0.765752736978946,"NEDD4L",-0.509116980034843,0.580289951209781,"NEDD4L",0.13215393398545,FALSE
"ENSG00000092529","CAPN3",2.05887644959101,0.765752736978946,"CAPN3",-0.713939605944377,0.975049688336469,"CAPN3",1.96067703585201,FALSE
"ENSG00000129451","KLK10",2.81127410454009,0.765752736978946,"KLK10",2.25994311585847,0.703737698464793,"KLK10",0.389849880775054,FALSE
"ENSG00000152518","ZFP36L2",1.5131283407556,0.765752736978946,"ZFP36L2",0.724420188585243,0.937800856231673,"ZFP36L2",0.557700882776768,FALSE
"ENSG00000198832","SELENOM",1.07915276845134,0.765752736978946,"SELENOM",0.778054170269444,0.843327954748939,"SELENOM",0.212908860580183,FALSE
"ENSG00000236255","ENSG00000236255",-0.918727055320417,0.765752736978946,"ENSG00000236255",-0.5266770736585,0.889987895212623,"ENSG00000236255",0.277221200597204,FALSE
"ENSG00000260947","ENSG00000260947",-0.759274157476201,0.765752736978946,"ENSG00000260947",-0.608651119178921,0.759582278205826,"ENSG00000260947",0.106506571782927,FALSE
"ENSG00000232653","GOLGA8N",1.25345956012246,0.7664105682821,"GOLGA8N",-0.19464015827496,0.995154265654586,"GOLGA8N",1.02396113071315,FALSE
"ENSG00000139832","RAB20",1.68315505943214,0.767373863044721,"RAB20",0.249328254311885,0.995154265654586,"RAB20",1.01386865694757,FALSE
"ENSG00000165197","VEGFD",1.42395515656142,0.767373863044721,"VEGFD",0.949065494875931,0.85805970646763,"VEGFD",0.335797700093194,FALSE
"ENSG00000197702","PARVA",1.37686657248205,0.767373863044721,"PARVA",0.69318242995467,0.935901549776679,"PARVA",0.483437693370824,FALSE
"ENSG00000006283","CACNA1G",1.73802167736969,0.767926177364525,"CACNA1G",-0.766453844649959,0.703737698464793,"CACNA1G",1.77093162493581,FALSE
"ENSG00000082458","DLG3",-0.670740453962725,0.767926177364525,"DLG3",-0.432822016964075,0.872286248066705,"DLG3",0.16823374017105,FALSE
"ENSG00000185101","ANO9",1.32729461807103,0.767926177364525,"ANO9",2.40693434747328,0.0819194717731761,"ANO9",0.763420573898738,FALSE
"ENSG00000220575","HTR5A-AS1",-4.19920625395474,0.767926177364525,"HTR5A-AS1",-4.79198256156947,0.444922280343591,"HTR5A-AS1",0.419156146841103,FALSE
"ENSG00000088756","ARHGAP28",0.960370246384076,0.768956424472639,"ARHGAP28",0.901431602489235,0.601810367567298,"ARHGAP28",0.0416759147719811,FALSE
"ENSG00000065485","PDIA5",1.00130154779046,0.770511422379334,"PDIA5",1.27908929649433,0.42484211533962,"PDIA5",0.196425600839053,FALSE
"ENSG00000071082","RPL31",0.656950955489749,0.770511422379334,"RPL31",0.897959922049499,0.174218227597209,"RPL31",0.170419074581162,FALSE
"ENSG00000076706","MCAM",0.954302379443086,0.770511422379334,"MCAM",0.118990141698247,0.995296927215984,"MCAM",0.590654947717485,FALSE
"ENSG00000077157","PPP1R12B",-0.695537768614384,0.770511422379334,"PPP1R12B",-0.717189629701765,0.268559861537239,"PPP1R12B",0.015310177800196,FALSE
"ENSG00000115457","IGFBP2",1.04380620390251,0.770511422379334,"IGFBP2",1.08576936506718,0.506930646981135,"IGFBP2",0.02967243581956,FALSE
"ENSG00000120693","SMAD9",0.93860595018936,0.770511422379334,"SMAD9",-0.18137329152432,0.99404519599795,"SMAD9",0.791944916603911,FALSE
"ENSG00000129654","FOXJ1",1.95626217515057,0.770511422379334,"FOXJ1",0.288290399966837,0.99404519599795,"FOXJ1",1.17943415306018,FALSE
"ENSG00000148604","RGR",-2.6612611441687,0.770511422379334,"RGR",-2.37093340560402,0.739136450178564,"RGR",0.205292712705643,FALSE
"ENSG00000149972","CNTN5",0.84668415257457,0.770511422379334,"CNTN5",-0.286583455523112,0.99404519599795,"CNTN5",0.801341210584929,FALSE
"ENSG00000154258","ABCA9",1.95801522307126,0.770511422379334,"ABCA9",0.340914289744486,0.99404519599795,"ABCA9",1.14346303581846,FALSE
